Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-09-11,195.62913513183594,200.03973759723792,192.95401884082327,198.66860973787706,33620100
2020-09-14,196.95230102539062,200.5862423391862,195.62911747906594,195.83047722196807,30375800
2020-09-15,200.18360900878906,201.14243461554847,198.40977578407706,199.83843120513495,21823900
2020-09-16,196.60711669921875,201.97652921878745,196.2139948428728,201.94776563227552,26328100
2020-09-17,194.55526733398438,195.91679765967976,191.7267353023383,191.81302607786137,34011300
2020-09-18,192.13902282714844,195.2647883886692,188.16948622524788,194.44979557058838,55225300
2020-09-21,194.20050048828125,194.363513689872,188.29414682687468,189.07079310162283,39839700
2020-09-22,198.87960815429688,199.53161718314183,193.75948285972405,196.61677910804298,33517100
2020-09-23,192.330810546875,199.53159967797666,191.79387058817846,199.3398228665708,30803800
2020-09-24,194.82373046875,197.10573954514186,190.9980119519485,191.62125722458802,31202500
2020-09-25,199.2631072998047,200.43286086089412,194.20049558420504,195.16891862918936,29437300
2020-09-28,200.81637573242188,203.81750364143744,199.49319211979287,202.19708652290205,32004900
2020-09-29,198.7261505126953,201.4204622220947,198.29468200146903,200.73010675192674,24221900
2020-09-30,201.6697540283203,203.25181013232546,198.03579746308637,199.17680206329678,33829100
2020-10-01,203.7120361328125,205.17903771787337,202.61897584138453,204.69962505267665,27158400
2020-10-02,197.70021057128906,202.30257539421504,197.07696528611893,199.43568219566714,33154800
2020-10-05,201.71768188476562,201.7464454748345,198.45766691532606,198.6877902663909,21331600
2020-10-06,197.43177795410156,201.52595263148683,196.38666158711658,200.22196389283806,28554300
2020-10-07,201.19032287597656,201.458792800773,198.20837548293932,198.5343725872616,25681100
2020-10-08,201.90945434570312,202.4943384245125,199.7425142102119,201.84232954510335,19925800
2020-10-09,206.9241180419922,206.9720622405995,202.5326957249404,202.5326957249404,26458000
2020-10-12,212.28396606445312,214.64268330095436,207.8829604018951,209.78143085094663,40461400
2020-10-13,213.683837890625,215.93708352416328,211.35388446631572,213.54960291440455,28950800
2020-10-14,211.76617431640625,214.98782818305753,210.107410503166,213.818060047335,23421700
2020-10-15,210.6156005859375,211.2867754707797,207.1158789362711,208.1610097896488,22733100
2020-10-16,210.6156005859375,213.1373015554528,210.28960344623061,211.08541569006942,26057900
2020-10-19,205.39959716796875,213.1469088650928,204.92018442406638,211.34431226625483,27625800
2020-10-20,205.81185913085938,208.41986529898946,204.31609389953766,206.91451708098484,22753500
2020-10-21,205.95571899414062,207.9884243592295,204.3448845566899,204.3448845566899,22724900
2020-10-22,206.0419921875,207.16381616381312,202.98333678251518,205.12151335460695,22351500
2020-10-23,207.3268280029297,207.37477220269963,204.38324140765587,206.17624036102944,18879600
2020-10-26,201.43003845214844,207.4322800897711,199.5315682881296,205.04481424683485,37111600
2020-10-27,204.46951293945312,205.83104322774932,201.6697445765535,202.87785929223526,36700300
2020-10-28,194.33473205566406,200.24110024392866,193.77862617846768,199.1192762411455,51195600
2020-10-29,196.29074096679688,198.82203948797712,194.9963207988178,195.66751029659352,31432600
2020-10-30,194.13340759277344,195.87846246175886,191.4007489608777,195.1209967251671,36953700
2020-11-02,193.99917602539062,196.82770848255075,191.88016511439972,195.8784659174525,30842200
2020-11-03,197.93032836914062,199.55074570208873,194.7566185066281,195.49491819127326,27512000
2020-11-04,207.48020935058594,209.33074981660755,203.6736716791737,205.20779803554873,42311800
2020-11-05,214.09613037109375,214.8919572579799,212.04424447339872,212.89759854696078,36080100
2020-11-06,214.5084228515625,215.12207053147654,209.05270390346763,213.10853130929766,25231900
2020-11-09,209.3978729248047,218.72723972094147,208.9088772508579,215.19876936588372,44395000
2020-11-10,202.3217315673828,207.58568799886555,201.08485330495418,205.66803730141643,44045100
2020-11-11,207.6336669921875,209.06230763770108,203.46277017398026,203.6449493616537,29440800
2020-11-12,206.56936645507812,210.08825425706146,205.6297215689271,208.2664916734297,21593900
2020-11-13,207.5952606201172,208.4677951552141,205.34202994142674,207.45144267719485,18621100
2020-11-16,208.28567504882812,208.77468545440735,205.68726594005352,206.0228461121685,24953300
2020-11-17,205.6297149658203,208.71711949260344,205.26535660858772,207.20218813788108,24154100
2020-11-18,202.9187469482422,206.85060654985398,202.77453778794847,205.38937213802836,28372800
2020-11-19,204.2069091796875,204.79332449044625,201.81317822223278,203.20712659631747,24792700
2020-11-20,202.25543212890625,205.04329999527926,201.88051176523788,203.99544752615736,22843100
2020-11-23,201.98623657226562,204.0819412748359,200.111634964733,202.79375500799998,25683500
2020-11-24,205.59127807617188,205.96619845743962,200.78459899898544,201.48637003698494,33979700
2020-11-25,205.600830078125,206.96592480347252,204.24535809635242,206.79289144492063,21012900
2020-11-27,206.9082794189453,207.90807676542295,205.76428758442702,206.54298182630274,14512200
2020-11-30,205.79310607910156,206.4564152798646,202.6879817235007,205.82194497179492,33064800
2020-12-01,207.8503875732422,208.91747073268834,205.10096702441447,206.21610523136007,30904500
2020-12-02,207.04286193847656,207.13900137457546,204.5722368539739,206.5718168405199,23724500
2020-12-03,205.95657348632812,208.0138313758631,205.38937425344153,206.3122630148417,25120900
2020-12-04,206.0718994140625,207.05246583148178,204.93751578041724,205.93731301706904,24666000
2020-12-07,206.0045623779297,207.20623166273188,204.75483805678704,206.08147097241476,24620000
2020-12-08,207.65811157226562,208.5617694437516,204.6587489935617,205.69699327130186,23284100
2020-12-09,203.61087036132812,206.9082442233962,203.04368591308923,206.84095836336226,32440600
2020-12-10,202.38038635253906,204.84140328420904,202.2265691271052,203.58205592220745,26733300
2020-12-11,205.0144500732422,205.0721425381676,201.02491270847506,201.9285706309938,30979400
2020-12-14,205.91812133789062,207.85041564557133,204.64916573487125,204.8606607801778,28798400
2020-12-15,205.85079956054688,207.09091604736759,204.03387583824556,206.8505821440536,27000600
2020-12-16,210.80169677734375,211.5996071900063,206.41800821476036,206.44684711302847,35023300
2020-12-17,210.93626403808594,212.34942860017748,209.494260580345,211.36886214164468,32515800
2020-12-18,210.13833618164062,211.19581116336445,207.66771142443713,210.13833618164062,63354900
2020-12-21,213.98370361328125,215.33919043070517,208.87901354427856,209.1385782828704,37181900
2020-12-22,215.28150939941406,216.90616900693473,213.27232139657806,214.07983982803108,22612200
2020-12-23,212.47442626953125,214.91621255931088,212.26293123630398,214.48361441637113,18699600
2020-12-24,214.1375274658203,214.96427675569586,212.6474541950329,212.85894922282563,10550600
2020-12-28,216.2620849609375,217.29070652946282,214.3970913608019,215.77179436717526,17933500
2020-12-29,215.48341369628906,218.39625999669985,214.93545991809128,217.5599025447463,17403200
2020-12-30,213.10885620117188,216.90614333232153,212.90698395161272,216.52160031370553,20272300
2020-12-31,213.8202667236328,214.37784314318708,211.18620184549383,213.12810390410456,20942100
2021-01-04,209.27316284179688,214.37785286571398,206.50451143811924,213.9260239305633,37130100
2021-01-05,209.4750213623047,210.0710594090714,207.36008597617078,208.85976716508725,23823000
2021-01-06,204.0435333251953,208.11960259324445,203.74552155992959,203.9666246972524,35930700
2021-01-07,209.84994506835938,210.8593503984707,205.44704085761094,205.76426870218953,27694500
