Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2020-09-11,12.128162384033203,12.614704544459,11.860215005135611,12.44820359020512,636928000
2020-09-14,12.833799362182617,13.275226816511958,12.593520020624492,13.041926535075225,1201744000
2020-09-15,12.952195167541504,13.25902564618018,12.789432836907169,13.240331463550191,727556000
2020-09-16,12.477118492126465,13.053641174204953,12.476371143154827,12.918545962260684,556384000
2020-09-17,12.42626953125,12.552142668299084,11.998800238855086,12.096008838443781,792512000
2020-09-18,12.152841567993164,12.594767315053113,11.952940911262065,12.556133362816384,698460000
2020-09-21,12.479859352111816,12.48509364683612,11.868939665502111,11.889378611804318,721044000
2020-09-22,12.59999942779541,12.610218901281746,12.119190695454227,12.537437005349007,646452000
2020-09-23,12.087532997131348,12.688981437397798,12.043166530914593,12.537933306770645,647012000
2020-09-24,12.311113357543945,12.531952083428154,11.97811145478811,12.036187875080055,731240000
2020-09-25,12.83529281616211,12.845014055737062,12.209169491993075,12.410316619544057,588016000
2020-09-28,12.996064186096191,13.01276448838678,12.711915635781422,13.001298481479344,573808000
2020-09-29,13.186243057250977,13.402594859653792,12.894617246468027,12.898854125234962,621460000
2020-09-30,13.490084648132324,13.58180985065697,13.110970482174041,13.118198658993458,689184000
2020-10-01,13.573832511901855,13.721639305296938,13.420541356332823,13.716904193711244,525004000
2020-10-02,13.023234367370605,13.479118245108562,13.012017475682493,13.185498491124672,552496000
2020-10-05,13.601750373840332,13.603495139060358,13.183253935724476,13.196464708458564,479820000
2020-10-06,13.695466995239258,14.099756122403639,13.624180750405333,13.78868783495499,784420000
2020-10-07,13.92228889465332,14.077075706283749,13.822088984441283,13.95793249635113,418084000
2020-10-08,13.79741382598877,14.042430201793506,13.716905511390735,14.032958076060966,378900000
2020-10-09,13.721638679504395,13.782955519265824,13.619944080821789,13.725876509097755,346892000
2020-10-12,14.183505058288574,14.304143905774929,13.870942068199716,13.947711725240717,434744000
2020-10-13,14.2056884765625,14.305639259093581,13.976874207969084,14.253794544783366,344604000
2020-10-14,14.053146362304688,14.299906525301147,13.918300274820167,14.247812691983547,276100000
2020-10-15,13.928267478942871,13.963910119551336,13.726621184138402,13.769492950194932,267224000
2020-10-16,13.770245552062988,14.079320020755107,13.751302250570788,13.99482298849554,242392000
2020-10-19,13.45743179321289,13.941730079394526,13.366703059710574,13.861470887026698,298068000
