Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,EMA_10,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,ATR_14,BB_upper,BB_middle,BB_lower,OBV,news_avg_polarity,news_avg_subjectivity,news_avg_compound,news_avg_positive,news_avg_negative,news_news_count
2020-11-13,1.313599944114685,1.317149996757507,1.3114999532699585,1.313539981842041,0.0,1.3115359783172609,1.315519493818283,1.3105461056763097,1.314112416461131,48.316544451002834,-0.0040218487822067,-0.0029618056453916,-0.0010600431368151,0.0109354804182997,1.3345122965594978,1.315519493818283,1.2965266910770683,0.0,0,0,0,0,0,0
2020-11-16,1.3123600482940674,1.3127800226211548,1.3066200017929075,1.3123500347137451,0.0,1.3090929865837098,1.3152409970760346,1.310875913424993,1.313945524254744,47.34456509017636,-0.0036496772226779,-0.0030993799608489,-0.000550297261829,0.0106529419828338,1.3342475917651395,1.3152409970760346,1.2962344023869294,0.0,0,0,0,0,0,0
2020-11-17,1.3075300455093384,1.3114900588989258,1.3062000274658203,1.3074300289154053,0.0,1.3076409935951232,1.3146690011024476,1.3102675738039646,1.313334526278991,43.65995662892945,-0.00370179742271,-0.0032198634532211,-0.0004819339694888,0.0103320190432205,1.3338797438935563,1.3146690011024476,1.2954582583113388,0.0,0,0,0,0,0,0
2020-11-18,1.3105000257492063,1.3116799592971802,1.3040800094604492,1.3104000091552734,0.0,1.307669997215271,1.3145915031433106,1.3103098377940086,1.313064573847583,46.42120224890496,-0.0034635251110337,-0.0032685957847836,-0.00019492932625,0.0101368712427569,1.333856311390744,1.3145915031433106,1.2953266948958773,0.0,0,0,0,0,0,0
2020-11-19,1.308419942855835,1.312150001525879,1.3069000244140625,1.3087999820709229,0.0,1.3072479963302612,1.3142464995384215,1.3099662205325224,1.312622228038845,44.76637906479128,-0.0034033066918297,-0.0032955379661928,-0.0001077687256368,0.0097878073762612,1.3336930471046522,1.3142464995384215,1.2947999519721909,0.0,0,0,0,0,0,0
2020-11-20,1.3085700273513794,1.3085099458694458,1.303949952125549,1.3085099458694458,0.0,1.3072839975357056,1.3139914989471435,1.3097123672268598,1.3122363041638485,44.91895192191524,-0.0033053703444689,-0.0032975044418481,-7.8659026208675e-06,0.0094143921168066,1.3335947159542534,1.3139914989471435,1.2943882819400336,0.0,0,0,0,0,0,0
2020-11-23,1.3082200288772583,1.3111499547958374,1.304479956626892,1.3085700273513794,0.0,1.3078830003738404,1.3136664986610411,1.3094410329814776,1.3118538017556016,44.60948376675654,-0.0032188916560735,-0.0032817818846932,6.289022861962401e-05,0.0092183639776736,1.3334255329693825,1.3136664986610411,1.2939074643527002,0.0,0,0,0,0,0,0
2020-11-24,1.3074400424957275,1.3089499473571775,1.3012299537658691,1.3074599504470823,0.0,1.3085560083389285,1.3130079984664915,1.309077216529523,1.3114334437308517,43.883884282917286,-0.0031766763077827,-0.0032607607693111,8.408446152838181e-05,0.0091113375215047,1.3326751316344263,1.3130079984664915,1.2933408652985572,0.0,0,0,0,0,0,0
2020-11-25,1.2996400594711304,1.3028500080108645,1.2989000082015991,1.2997900247573853,0.0,1.308210015296936,1.3120310008525848,1.3073613697916335,1.3103102642775448,37.34256645517476,-0.0037296210333599,-0.0033545328221208,-0.000375088211239,0.0090705301481207,1.3323065930436688,1.3120310008525848,1.2917554086615008,0.0,0,0,0,0,0,0
2020-11-26,1.3001999855041504,1.3022199869155884,1.2990200519561768,1.300279974937439,0.0,1.3076480150222778,1.310488498210907,1.306059299921182,1.3093473805848406,38.05636971947936,-0.0040756705674787,-0.0034987603711924,-0.0005769101962862,0.0086512019203557,1.329389085729915,1.310488498210907,1.2915879106918988,0.0,0,0,0,0,0,0
